Alpha,T1_Re0.076_M0.00_N9.0, , Alpha,T1_Re0.076_M0.00_N9.0, , 
           -8,    0.03302348, ,            -8,     0.1078226, , 
           -6,     0.0222151, ,            -6,    0.08458308, , 
           -4,    0.01746289, ,            -4,    0.03637944, , 
           -2,    0.01733831, ,            -2,    0.02804693, , 
            0,    0.01826384, ,             0,    0.02460053, , 
            2,    0.01733593, ,             2,    0.02574039, , 
            4,    0.01746095, ,             4,    0.02707076, , 
            6,    0.02221283, ,             6,    0.03119171, , 
            8,    0.03302259, ,             8,    0.03065026, , 
           10,    0.05597278, ,            10,    0.03053588, , 
           12,     0.1389537, ,            12,    0.04646445, , 
           14,     0.1720188, ,            14,    0.06724952, , 
           16,      0.205474, ,            16,     0.1147698, , 
           18,     0.2271682, ,            18,      0.232392, , 
           20,     0.2536593, ,            20,     0.2610936, , 
           22,     0.2802926, ,            22,     0.2895582, , 
           24,     0.3105392, ,            24,     0.3195417, , 

