Cd,T1_Re0.036_M0.00_N9.0, , Cd,T1_Re0.036_M0.00_N9.0, , 
   0.05527839,    -0.7848541, ,     0.1065796,    -0.2958917, , 
   0.03536671,    -0.6865692, ,    0.08914929,    -0.2981643, , 
   0.03236507,    -0.5017035, ,    0.06097799,    -0.3818367, , 
    0.0266685,   -0.01019027, ,    0.03935288,      -0.17154, , 
   0.02342893, -7.403327e-09, ,    0.03444716,   0.003046219, , 
   0.02665711,    0.01033218, ,    0.04633378,     0.2516908, , 
   0.03235959,     0.5016726, ,    0.05965565,     0.4390668, , 
   0.03536438,     0.6865336, ,    0.07744606,     0.5931895, , 
    0.0552804,     0.7850019, ,    0.09824619,     0.5912882, , 
    0.1577129,     0.6147076, ,     0.1229606,      0.707497, , 
    0.2111188,     0.6863583, ,     0.1525992,     0.8071333, , 
    0.2352741,     0.7328655, ,     0.1837302,      0.856088, , 
    0.2624524,     0.7936118, ,     0.2172727,     0.9115429, , 
    0.2950998,     0.8580274, ,     0.2414134,     0.9472393, , 
    0.3129523,     0.9126855, ,     0.2708393,      1.006491, , 
, , ,     0.3003816,      1.066756, , 

