Cd,T1_Re0.076_M0.00_N9.0, , Cd,T1_Re0.076_M0.00_N9.0, , 
   0.03302348,     -0.843956, ,     0.1078226,    -0.4342337, , 
    0.0222151,    -0.6860705, ,    0.08458308,    -0.4446659, , 
   0.01746289,    -0.5392227, ,    0.03637944,    -0.2758345, , 
   0.01733831,    -0.3745505, ,    0.02804693,    0.05753248, , 
   0.01826384,  1.767041e-07, ,    0.02460053,      0.349459, , 
   0.01733593,     0.3744593, ,    0.02574039,     0.6025615, , 
   0.01746095,     0.5391154, ,    0.02707076,     0.8382102, , 
   0.02221283,      0.686005, ,    0.03119171,      1.025402, , 
   0.03302259,     0.8439776, ,    0.03065026,      1.250781, , 
   0.05597278,      0.911466, ,    0.03053588,      1.368561, , 
    0.1389537,     0.6166832, ,    0.04646445,      1.340737, , 
    0.1720188,     0.6604387, ,    0.06724952,      1.419946, , 
     0.205474,     0.7174778, ,     0.1147698,      1.220678, , 
    0.2271682,     0.7359333, ,      0.232392,     0.9781383, , 
    0.2536593,       0.79202, ,     0.2610936,      1.026602, , 
    0.2802926,      0.854009, ,     0.2895582,      1.073623, , 
    0.3105392,     0.9166636, ,     0.3195417,      1.127514, , 

