CD,T1-5.5 m/s-VLM1-Inviscid, , CD,T1-5.5 m/s-VLM1-Inviscid, , 
    0.0169131,  3.284857e-17, ,   0.003110521,   8.68393e-18, , 
  0.009581719,  2.279045e-17, ,  0.0009157138,  5.027538e-18, , 
  0.004280256,  1.927238e-17, ,  0.0008718084, -7.998357e-19, , 
  0.001073331,  8.480132e-18, ,   0.002999028, -9.118127e-18, , 
            0,             0, ,   0.007291152, -6.033046e-18, , 
  0.001073331, -8.480132e-18, ,    0.01371556, -1.704793e-17, , 
  0.004280256, -1.927238e-17, ,    0.02221359, -1.876186e-17, , 
  0.009581719, -2.279045e-17, ,    0.03270112, -2.682877e-17, , 
    0.0169131, -3.284857e-17, ,    0.04506954, -3.183346e-17, , 
   0.02618496, -4.563221e-17, ,     0.0591869, -4.134008e-17, , 
   0.03728397, -5.805092e-17, ,    0.07489934,  -5.32005e-17, , 
   0.05007425, -8.120628e-17, ,     0.0920328, -4.647045e-17, , 
    0.0643988, -7.209467e-17, ,     0.1103949, -6.669487e-17, , 
   0.08008128, -6.695156e-17, ,     0.1297772, -5.483445e-17, , 
   0.09692798, -8.358967e-17, ,     0.1499571, -5.702828e-17, , 
    0.1147299, -1.032498e-16, ,     0.1707008, -5.754246e-17, , 
    0.1332652, -1.240389e-16, ,     0.1917656, -9.175258e-17, , 

